# Time-averaged data for fix SSS
# TimeStep v_StressGPa v_separation v_Strain
159000 -0.0259618 21.8231 0.1585
160000 -0.0253456 21.9404 0.159501
161000 -0.0248484 22.0567 0.160501
162000 -0.0257469 22.1726 0.161501
163000 -0.0258588 22.2885 0.1625
164000 -0.026799 22.4034 0.1635
165000 -0.0253 22.5191 0.164501
166000 -0.0241221 22.6359 0.1655
167000 -0.0238178 22.7521 0.166501
168000 -0.0241975 22.8679 0.1675
169000 -0.024403 22.9829 0.168501
170000 -0.0241604 23.0983 0.1695
171000 -0.025047 23.2126 0.1705
172000 -0.0251006 23.327 0.171501
173000 -0.0260409 23.4405 0.172501
174000 -0.0253275 23.5544 0.173501
175000 -0.0253118 23.6683 0.174501
176000 -0.0258513 23.7821 0.175501
177000 -0.0249822 23.896 0.1765
178000 -0.0245262 24.0102 0.177501
179000 -0.0248581 24.1247 0.1785
180000 -0.0254016 24.2388 0.179501
181000 -0.0252344 24.3528 0.1805
182000 -0.0255196 24.4669 0.1815
183000 -0.0259574 24.5807 0.182501
184000 -0.0255777 24.6943 0.183501
185000 -0.0255212 24.8081 0.184501
186000 -0.0255751 24.9221 0.185501
187000 -0.0266066 25.0354 0.1865
188000 -0.027286 25.1485 0.1875
189000 -0.0277506 25.2611 0.1885
190000 -0.028081 25.3736 0.189501
191000 -0.0278058 25.4862 0.1905
192000 -0.0263771 25.5992 0.191501
193000 -0.0263821 25.7129 0.192501
194000 -0.0266343 25.8262 0.193501
195000 -0.0264063 25.9396 0.1945
196000 -0.0261039 26.0533 0.195501
197000 -0.0270575 26.1665 0.1965
198000 -0.0263407 26.2801 0.197501
199000 -0.0256953 26.3945 0.198501
200000 -0.0248539 26.509 0.1995
